"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"1",1,"A. Abdennour",28,"https://cdn.sofifa.com/players/198/076/20_120.png","Tunisia","https://cdn.sofifa.org/flags/145.png",73,73,"Olympique de Marseille","https://cdn.sofifa.com/teams/219/light_60.png","€3.2M","€24K",1726,"Left",2,3,2,"Medium/ Medium","CB",13,"Jun 30, 2019",188,84,"57+2","57+2","57+2","52+2","53+2","53+2","53+2","52+2","53+2","53+2","53+2","54+2","58+2","58+2","58+2","54+2","63+2","66+2","66+2","66+2","63+2","65+2","71+2","71+2","71+2","65+2",56,48,74,58,32,48,48,39,62,51,52,54,60,67,51,74,77,67,83,60,78,72,45,53,51,75,68,73,75,12,8,7,8,15,"Ligue 1","France",3200000,24000,"Defender","A. Abdennour, CB",55.3333333333333,NA
"2",2,"A. Abedzadeh",25,"https://cdn.sofifa.com/players/237/419/20_120.png","Iran","https://cdn.sofifa.org/flags/161.png",72,77,"Clube Sport Marítimo","https://cdn.sofifa.com/teams/1893/light_60.png","€3M","€6K",1010,"Right",1,2,1,"Medium/ Medium","GK",1,"2019",185,80,"","","","","","","","","","","","","","","","","","","","","","","","","","",12,10,13,24,12,10,13,14,18,15,30,25,53,68,36,14,52,21,60,11,26,14,10,47,11,34,13,14,14,68,71,64,72,75,"Liga Nos","Portugal",3000000,6000,"Goal Keeper","A. Abedzadeh, GK",36,NA
"3",3,"A. Abrashi",28,"https://cdn.sofifa.com/players/199/282/20_120.png","Albania","https://cdn.sofifa.org/flags/1.png",71,71,"SC Freiburg","https://cdn.sofifa.com/teams/25/light_60.png","€1.9M","€15K",1888,"Right",1,2,2,"High/ High","CDM",6,"2020",173,71,"59+2","59+2","59+2","61+2","61+2","61+2","61+2","61+2","62+2","62+2","62+2","61+2","64+2","64+2","64+2","61+2","68+2","70+2","70+2","70+2","68+2","68+2","69+2","69+2","69+2","68+2",52,53,38,65,47,60,51,45,59,63,67,64,82,68,87,74,74,86,68,61,89,73,56,60,54,58,71,75,76,16,16,13,13,12,"Bundesliga","Germany",1900000,15000,"Midfielder","A. Abrashi, CDM",71,NA
"4",4,"A. Absalem",21,"https://cdn.sofifa.com/players/240/680/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",64,72,"FC Groningen","https://cdn.sofifa.com/teams/1915/light_60.png","€575K","€2K",1534,"Left",1,2,2,"Medium/ High","LB",20,"2019",175,70,"48+2","48+2","48+2","54+2","51+2","51+2","51+2","54+2","51+2","51+2","51+2","54+2","51+2","51+2","51+2","54+2","62+2","58+2","58+2","58+2","62+2","62+2","61+2","61+2","61+2","62+2",56,34,52,58,34,61,40,33,38,61,72,65,68,60,71,35,58,59,51,32,65,65,40,37,41,55,64,67,66,7,9,14,8,13,"Eredivisie","Netherlands",575000,2000,"Defender","A. Absalem, LB",68.3333333333333,NA
"5",5,"A. Acquah",26,"https://cdn.sofifa.com/players/201/223/20_120.png","Ghana","https://cdn.sofifa.org/flags/117.png",73,74,"Empoli","https://cdn.sofifa.com/teams/1746/light_60.png","€4.6M","€12K",2001,"Right",1,2,3,"Medium/ High","LCM",18,"2019",178,70,"68+2","68+2","68+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","73+2","73+2","73+2","73+2","73+2","72+2","73+2","73+2","73+2","72+2",64,59,60,74,50,76,54,54,68,70,78,76,78,74,79,72,79,79,78,65,80,74,72,70,60,67,66,77,76,11,5,10,6,7,"Serie A","Italy",4600000,12000,"Midfielder","A. Acquah, LCM",77.3333333333333,NA
"6",6,"A. Ademoglu",20,"https://cdn.sofifa.com/players/236/374/20_120.png","Belgium","https://cdn.sofifa.org/flags/7.png",58,75,"Bursaspor","https://cdn.sofifa.com/teams/742/light_60.png","€280K","€2K",1562,"Right",1,4,2,"Medium/ Medium","CM",41,"2019",180,72,"56+2","56+2","56+2","57+2","58+2","58+2","58+2","57+2","58+2","58+2","58+2","57+2","57+2","57+2","57+2","57+2","51+2","52+2","52+2","52+2","51+2","51+2","49+2","49+2","49+2","51+2",50,54,52,66,53,64,59,54,65,62,59,64,56,54,67,67,55,35,51,50,42,36,48,56,59,64,42,55,52,5,9,7,8,6,"Süper Lig","Turkey",280000,2000,"Midfielder","A. Ademoglu, CM",59.6666666666667,NA
"7",7,"A. Adnan",24,"https://cdn.sofifa.com/players/223/198/20_120.png","Iraq","https://cdn.sofifa.org/flags/162.png",72,75,"Atalanta","https://cdn.sofifa.com/teams/39/light_60.png","€3.9M","€16K",2015,"Left",1,3,4,"High/ Medium","LM",53,"Jun 30, 2019",185,70,"69+2","69+2","69+2","70+2","70+2","70+2","70+2","70+2","69+2","69+2","69+2","71+2","69+2","69+2","69+2","71+2","72+2","70+2","70+2","70+2","72+2","71+2","69+2","69+2","69+2","71+2",74,56,62,70,56,77,66,74,68,73,76,76,73,71,60,86,66,82,76,74,74,68,66,60,66,70,65,71,70,12,13,16,8,10,"Serie A","Italy",3900000,16000,"Midfielder","A. Adnan, LM",75,NA
"8",8,"A. Adouyev",19,"https://cdn.sofifa.com/players/244/477/20_120.png","France","https://cdn.sofifa.org/flags/18.png",62,79,"Montpellier HSC","https://cdn.sofifa.com/teams/70/light_60.png","€650K","€2K",1591,"Right",1,4,3,"Medium/ Medium","CAM",29,"2021",183,77,"56+2","56+2","56+2","61+2","59+2","59+2","59+2","61+2","60+2","60+2","60+2","61+2","55+2","55+2","55+2","61+2","51+2","48+2","48+2","48+2","51+2","48+2","43+2","43+2","43+2","48+2",55,57,39,62,52,72,59,48,64,69,76,74,78,51,76,61,58,45,64,43,42,29,40,56,52,60,35,32,48,12,9,6,14,13,"Ligue 1","France",650000,2000,"Midfielder","A. Adouyev, CAM",76,NA
"9",9,"A. Akkaynak",19,"https://cdn.sofifa.com/players/236/996/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",63,78,"Willem II","https://cdn.sofifa.com/teams/1907/light_60.png","€775K","€1K",1678,"Right",1,3,3,"Medium/ Medium","CM",22,"2021",180,77,"55+2","55+2","55+2","59+2","58+2","58+2","58+2","59+2","61+2","61+2","61+2","60+2","62+2","62+2","62+2","60+2","59+2","61+2","61+2","61+2","59+2","57+2","57+2","57+2","57+2","57+2",52,47,44,69,48,62,51,52,66,63,63,62,71,60,69,58,65,69,67,54,54,59,48,64,45,62,64,53,45,7,8,14,11,14,"Eredivisie","Netherlands",775000,1000,"Midfielder","A. Akkaynak, CM",65.3333333333333,NA
"10",10,"A. Aktas",18,"https://cdn.sofifa.com/players/236/468/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",54,74,"Stade de Reims","https://cdn.sofifa.com/teams/379/light_60.png","€140K","€1K",1455,"Right",1,3,2,"Medium/ Low","CAM",33,"2021",178,70,"48+2","48+2","48+2","51+2","50+2","50+2","50+2","51+2","52+2","52+2","52+2","52+2","52+2","52+2","52+2","52+2","49+2","49+2","49+2","49+2","49+2","48+2","45+2","45+2","45+2","48+2",43,40,46,64,48,50,56,50,59,60,55,69,55,47,67,53,56,53,46,36,43,30,37,55,56,56,41,45,47,7,14,14,5,8,"Ligue 1","France",140000,1000,"Midfielder","A. Aktas, CAM",59.6666666666667,NA
